,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,PhotoAmt,Adopted,Adopted_scored
50,Dog,62,Mixed Breed,Male,Black,Golden,Medium,Medium,Yes,Yes,Healthy,0,3,No,No
51,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,Yes,Yes
52,Dog,2,Labrador Retriever,Male,Black,Brown,Small,Short,Yes,No,Healthy,0,5,Yes,Yes
53,Dog,2,Mixed Breed,Male,Black,Brown,Small,Short,Yes,No,Healthy,0,3,No,Yes
54,Dog,2,Mixed Breed,Female,Brown,Cream,Medium,Short,No,No,Healthy,0,1,Yes,Yes
55,Dog,12,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,3,Yes,No
56,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,5,Yes,Yes
57,Dog,1,Mixed Breed,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,1,Yes,Yes
58,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,1,No,Yes
59,Dog,3,Silky Terrier,Male,Black,Brown,Small,Long,Yes,Not Sure,Healthy,750,2,Yes,Yes
60,Dog,3,Mixed Breed,Male,Black,White,Medium,Medium,No,No,Healthy,0,1,Yes,Yes
61,Dog,3,Mixed Breed,Male,Cream,No Color,Medium,Medium,Not Sure,No,Healthy,0,3,Yes,Yes
62,Cat,6,Domestic Medium Hair,Female,Cream,White,Medium,Medium,No,No,Healthy,50,4,Yes,Yes
63,Cat,47,Bombay,Female,Black,Brown,Medium,Long,No,No,Healthy,0,2,No,Yes
64,Dog,2,Rottweiler,Male,Black,Brown,Large,Medium,Not Sure,Not Sure,Healthy,0,4,Yes,Yes
65,Dog,12,Mixed Breed,Female,Cream,No Color,Medium,Medium,Yes,Yes,Healthy,0,11,Yes,Yes
66,Dog,2,Mixed Breed,Male,Black,White,Medium,Short,Yes,No,Healthy,0,18,Yes,Yes
67,Dog,1,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,5,Yes,Yes
68,Cat,24,Domestic Short Hair,Male,Yellow,No Color,Large,Short,No,No,Minor Injury,0,12,Yes,Yes
69,Cat,24,Domestic Short Hair,Female,Brown,Yellow,Medium,Short,No,Yes,Healthy,0,1,No,No
70,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,2,Yes,Yes
71,Cat,19,Persian,Female,Black,Gray,Large,Long,Yes,No,Healthy,0,3,Yes,Yes
72,Dog,4,Silky Terrier,Female,Brown,No Color,Small,Long,Not Sure,Yes,Healthy,0,3,Yes,Yes
73,Dog,24,Mixed Breed,Male,Brown,White,Medium,Short,No,No,Healthy,0,3,Yes,No
74,Cat,3,Domestic Medium Hair,Male,Black,White,Medium,Medium,Not Sure,No,Healthy,0,1,Yes,Yes
75,Dog,24,Husky,Female,Black,Gray,Medium,Medium,Not Sure,Yes,Healthy,0,2,Yes,Yes
76,Dog,60,Schnauzer,Male,Gray,No Color,Medium,Medium,Yes,Yes,Healthy,0,3,No,Yes
77,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,1,Yes,Yes
78,Cat,3,Domestic Short Hair,Female,Brown,Golden,Small,Short,Yes,No,Healthy,0,7,Yes,Yes
79,Cat,2,Domestic Medium Hair,Male,Golden,No Color,Small,Medium,No,No,Healthy,0,2,Yes,Yes
80,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,2,Yes,Yes
81,Cat,2,Domestic Short Hair,Female,Gray,White,Medium,Short,No,No,Healthy,0,2,Yes,Yes
82,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,4,No,Yes
83,Cat,4,Domestic Short Hair,Female,Black,White,Medium,Short,Yes,No,Healthy,0,5,Yes,Yes
84,Dog,120,Mixed Breed,Male,Black,Brown,Large,Short,Not Sure,Not Sure,Healthy,0,3,No,No
85,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,4,No,Yes
86,Dog,36,Golden Retriever,Female,Brown,Golden,Large,Medium,Yes,No,Healthy,0,4,Yes,Yes
87,Cat,3,Domestic Short Hair,Female,Black,Brown,Small,Short,No,No,Healthy,0,3,No,Yes
88,Cat,60,Persian,Male,Golden,No Color,Medium,Medium,Yes,No,Healthy,0,0,No,No
89,Cat,1,Domestic Short Hair,Female,Brown,Cream,Medium,Short,No,Not Sure,Healthy,0,4,Yes,Yes
90,Dog,36,Rottweiler,Male,Black,Cream,Large,Short,Yes,Yes,Healthy,0,4,Yes,Yes
91,Dog,12,Siberian Husky,Male,Black,Gray,Medium,Medium,Yes,No,Healthy,400,1,Yes,Yes
92,Cat,1,Domestic Medium Hair,Male,Black,White,Small,Medium,No,No,Healthy,0,1,Yes,Yes
93,Dog,5,Collie,Male,Cream,White,Medium,Short,Yes,Yes,Healthy,0,6,Yes,Yes
94,Dog,24,German Shepherd Dog,Female,Black,Brown,Medium,Medium,Not Sure,Not Sure,Healthy,0,3,Yes,Yes
95,Dog,3,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,3,Yes,Yes
96,Dog,4,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,5,No,Yes
97,Cat,8,Siamese,Male,Brown,Cream,Medium,Short,Yes,No,Healthy,50,8,Yes,Yes
98,Cat,12,Domestic Medium Hair,Male,Black,No Color,Medium,Medium,No,No,Healthy,0,1,Yes,Yes
99,Dog,4,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,10,Yes,Yes
100,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,3,Yes,Yes
101,Cat,7,Calico,Female,Black,Yellow,Medium,Short,Yes,No,Healthy,0,7,Yes,Yes
102,Cat,5,Domestic Long Hair,Male,Yellow,No Color,Medium,Long,No,No,Healthy,100,5,Yes,Yes
103,Dog,60,American Staffordshire Terrier,Female,Black,White,Medium,Short,Yes,Yes,Healthy,0,2,Yes,Yes
104,Dog,12,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,2,Yes,No
105,Cat,17,Domestic Short Hair,Female,Black,Brown,Small,Short,Not Sure,Yes,Healthy,0,3,Yes,Yes
106,Dog,48,Mixed Breed,Male,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,2,Yes,No
107,Dog,4,Mixed Breed,Female,Black,White,Medium,Short,Yes,No,Healthy,0,2,Yes,Yes
108,Cat,12,Turkish Van,Female,Golden,Cream,Medium,Medium,Not Sure,Yes,Healthy,0,2,Yes,Yes
109,Cat,12,Persian,Male,Black,White,Large,Long,No,No,Healthy,0,2,Yes,Yes
110,Cat,3,Domestic Short Hair,Female,Gray,White,Medium,Short,Yes,No,Healthy,0,3,Yes,Yes
111,Dog,36,Doberman Pinscher,Female,Black,Brown,Large,Medium,Not Sure,Not Sure,Minor Injury,0,4,Yes,Yes
112,Dog,12,Mixed Breed,Female,Cream,White,Medium,Short,Not Sure,Not Sure,Healthy,0,1,No,No
113,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,80,1,No,No
114,Dog,36,Doberman Pinscher,Male,Black,No Color,Medium,Short,Yes,Yes,Healthy,0,1,Yes,Yes
115,Cat,1,Oriental Short Hair,Female,Yellow,White,Small,Short,No,No,Healthy,0,3,Yes,Yes
116,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,4,Yes,Yes
117,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,4,Yes,Yes
118,Dog,1,Mixed Breed,Female,Brown,Cream,Large,Short,Not Sure,Not Sure,Healthy,0,2,Yes,Yes
119,Cat,2,Domestic Short Hair,Female,Black,Cream,Medium,Short,No,No,Healthy,0,3,Yes,Yes
120,Cat,2,Siamese,Male,Brown,Cream,Small,Short,No,No,Healthy,0,1,Yes,Yes
121,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,80,9,Yes,Yes
122,Cat,3,Domestic Short Hair,Male,Yellow,No Color,Medium,Short,Not Sure,No,Healthy,0,3,No,Yes
123,Dog,17,Mixed Breed,Male,Black,No Color,Medium,Medium,Yes,Yes,Healthy,150,1,No,No
124,Cat,48,Tabby,Male,Black,Brown,Large,Short,Yes,No,Healthy,20,4,Yes,Yes
125,Cat,1,Domestic Short Hair,Male,Black,Brown,Medium,Short,No,No,Healthy,0,1,Yes,Yes
126,Cat,5,Domestic Short Hair,Female,Black,White,Medium,Medium,No,No,Healthy,150,4,Yes,Yes
127,Dog,8,Mixed Breed,Male,Black,Brown,Medium,Short,Not Sure,Yes,Healthy,0,3,Yes,Yes
128,Dog,4,Mixed Breed,Female,White,No Color,Small,Short,Yes,Yes,Healthy,0,2,No,Yes
129,Dog,3,Mixed Breed,Male,Black,White,Medium,Short,Yes,No,Healthy,0,3,Yes,Yes
130,Cat,72,Domestic Short Hair,Male,Black,White,Medium,Short,Yes,Yes,Healthy,0,10,No,No
131,Dog,12,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,2,No,No
132,Dog,22,Beagle,Male,Brown,Cream,Medium,Short,Yes,No,Healthy,0,0,Yes,Yes
133,Dog,36,Mixed Breed,Male,Golden,No Color,Medium,Medium,Not Sure,No,Healthy,0,3,No,Yes
134,Dog,2,Mixed Breed,Male,Cream,No Color,Medium,Medium,Not Sure,No,Healthy,0,1,Yes,Yes
135,Dog,12,Mixed Breed,Female,White,No Color,Medium,Medium,Yes,No,Healthy,0,5,Yes,Yes
136,Dog,7,Mixed Breed,Male,Black,White,Small,Short,No,No,Healthy,50,1,No,No
137,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,4,Yes,Yes
138,Dog,24,Mixed Breed,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,0,24,No,No
139,Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Long,No,No,Healthy,0,3,Yes,Yes
140,Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,1,Yes,Yes
141,Cat,5,Domestic Short Hair,Male,Black,White,Small,Short,Yes,Not Sure,Healthy,0,4,No,Yes
142,Dog,16,Shih Tzu,Female,Cream,White,Small,Short,Yes,Not Sure,Healthy,0,3,Yes,Yes
143,Cat,2,Domestic Short Hair,Male,Golden,Cream,Medium,Short,Yes,No,Healthy,0,5,Yes,Yes
144,Cat,2,Domestic Medium Hair,Male,Cream,No Color,Small,Medium,Not Sure,Not Sure,Healthy,0,6,No,Yes
145,Dog,7,Shih Tzu,Male,Brown,No Color,Medium,Short,Yes,Not Sure,Healthy,0,8,Yes,Yes
146,Cat,13,Domestic Short Hair,Female,Brown,Golden,Medium,Short,No,No,Healthy,0,5,No,Yes
147,Dog,3,Mixed Breed,Male,Black,White,Medium,Short,Yes,Yes,Healthy,0,3,Yes,Yes
148,Dog,12,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,No,Healthy,0,1,No,No
149,Cat,3,Domestic Short Hair,Male,Black,White,Small,Short,Yes,No,Healthy,0,9,Yes,Yes
150,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,No,Yes
151,Cat,10,Domestic Short Hair,Female,Yellow,No Color,Medium,Short,Yes,Yes,Healthy,0,8,Yes,Yes
152,Dog,2,Mixed Breed,Female,Yellow,Cream,Medium,Short,No,No,Healthy,0,5,Yes,Yes
153,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,2,Yes,Yes
154,Cat,4,Domestic Short Hair,Female,Black,Brown,Large,Short,No,No,Healthy,0,8,Yes,Yes
155,Dog,60,Golden Retriever,Male,Brown,Yellow,Medium,Medium,Yes,Yes,Healthy,0,5,Yes,Yes
156,Cat,12,Domestic Short Hair,Female,Brown,Golden,Medium,Short,Yes,Yes,Healthy,0,2,No,No
157,Cat,2,Domestic Short Hair,Female,Black,Yellow,Small,Short,No,No,Healthy,0,5,Yes,Yes
158,Cat,6,Domestic Short Hair,Female,Golden,White,Medium,Short,No,Yes,Healthy,0,5,No,Yes
159,Dog,3,Mixed Breed,Female,Black,Brown,Large,Short,Not Sure,No,Healthy,0,2,Yes,Yes
160,Dog,1,Mixed Breed,Female,Black,No Color,Medium,Medium,No,No,Healthy,0,4,Yes,Yes
161,Cat,3,Domestic Medium Hair,Male,Yellow,White,Medium,Medium,No,No,Healthy,50,3,Yes,Yes
162,Dog,19,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,Yes,Healthy,80,3,No,No
163,Cat,11,Domestic Short Hair,Female,Black,Yellow,Medium,Short,Yes,Yes,Healthy,50,5,No,Yes
164,Dog,37,Mixed Breed,Female,Brown,Golden,Medium,Short,Yes,Yes,Healthy,0,5,No,No
165,Cat,4,Ragdoll,Female,Black,White,Small,Long,No,Not Sure,Healthy,250,3,Yes,Yes
166,Dog,3,Mixed Breed,Male,Cream,No Color,Medium,Short,No,Yes,Healthy,0,6,Yes,Yes
167,Dog,6,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,1,Yes,No
168,Cat,1,Domestic Short Hair,Female,Golden,Cream,Medium,Short,No,No,Healthy,0,7,Yes,Yes
169,Dog,5,Mixed Breed,Male,Black,Brown,Medium,Short,Not Sure,Not Sure,Healthy,0,0,No,No
170,Cat,7,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,2,Yes,Yes
171,Dog,4,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,1,1,No,No
172,Cat,1,Domestic Short Hair,Female,Black,Brown,Medium,Short,No,No,Healthy,0,0,No,Yes
173,Dog,48,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,1,Yes,No
174,Dog,3,Cocker Spaniel,Female,Brown,No Color,Small,Short,No,No,Healthy,0,3,Yes,Yes
175,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Medium,Yes,No,Healthy,0,1,Yes,Yes
176,Cat,4,Domestic Short Hair,Male,Yellow,White,Small,Short,Yes,Not Sure,Healthy,0,5,Yes,Yes
177,Dog,22,Shih Tzu,Female,Cream,White,Medium,Short,Yes,No,Healthy,0,3,Yes,Yes
178,Dog,60,Poodle,Female,Brown,No Color,Small,Long,Yes,Yes,Healthy,0,3,Yes,Yes
179,Dog,3,Black Labrador Retriever,Male,Black,No Color,Medium,Short,Not Sure,No,Healthy,0,2,Yes,Yes
180,Cat,4,Domestic Medium Hair,Female,Cream,No Color,Medium,Medium,Not Sure,Not Sure,Healthy,0,4,Yes,Yes
181,Cat,13,Persian,Female,Black,Gray,Medium,Medium,Yes,No,Healthy,0,3,Yes,Yes
182,Cat,1,Domestic Short Hair,Male,Black,White,Small,Short,Not Sure,Not Sure,Healthy,0,1,Yes,Yes
183,Dog,5,Labrador Retriever,Female,Black,No Color,Medium,Medium,Yes,No,Healthy,0,8,Yes,Yes
184,Dog,2,Mixed Breed,Female,Black,White,Medium,Medium,No,No,Healthy,0,12,Yes,Yes
185,Dog,2,Jack Russell Terrier,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,9,Yes,Yes
186,Dog,36,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,1,Yes,No
187,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,4,No,Yes
188,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,4,Yes,Yes
189,Cat,2,Domestic Short Hair,Female,Black,White,Medium,Short,No,No,Healthy,0,3,Yes,Yes
190,Cat,8,Tabby,Male,Golden,No Color,Medium,Short,Yes,Yes,Healthy,0,2,Yes,Yes
191,Cat,2,Domestic Medium Hair,Female,Black,Gray,Medium,Medium,Yes,No,Healthy,0,4,Yes,Yes
192,Cat,9,Tabby,Female,Brown,Cream,Small,Short,Yes,Yes,Healthy,0,3,Yes,Yes
193,Cat,6,Domestic Short Hair,Female,Gray,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,4,Yes,Yes
194,Dog,18,Beagle,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,0,10,Yes,Yes
195,Dog,14,Mixed Breed,Male,Brown,No Color,Large,Medium,Yes,Yes,Healthy,0,3,Yes,No
196,Cat,2,Domestic Short Hair,Male,White,No Color,Medium,Short,No,No,Healthy,0,2,Yes,Yes
197,Cat,12,Bengal,Male,Black,Gray,Medium,Medium,Yes,Yes,Healthy,0,1,No,Yes
198,Cat,12,Domestic Short Hair,Female,Black,Brown,Medium,Short,No,Yes,Healthy,0,1,No,No
199,Dog,1,Collie,Female,Black,Cream,Medium,Short,No,No,Healthy,0,5,Yes,Yes
200,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,2,Yes,Yes
201,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,2,Yes,No
202,Dog,3,Mixed Breed,Male,Cream,White,Medium,Medium,No,No,Healthy,0,4,Yes,Yes
203,Cat,6,Domestic Short Hair,Female,Yellow,No Color,Small,Short,Yes,Yes,Healthy,200,6,No,No
204,Cat,3,Siamese,Male,Black,White,Small,Short,No,No,Healthy,0,1,Yes,Yes
205,Dog,3,Mixed Breed,Male,Brown,No Color,Large,Short,No,Not Sure,Healthy,0,3,Yes,Yes
206,Dog,24,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Minor Injury,20,2,No,No
207,Dog,1,Mixed Breed,Male,Brown,White,Medium,Medium,No,No,Healthy,0,1,Yes,Yes
208,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,250,13,Yes,Yes
209,Dog,2,Mixed Breed,Male,Golden,No Color,Medium,Medium,Yes,No,Healthy,0,1,Yes,Yes
210,Dog,7,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,1,Yes,No
211,Cat,3,Domestic Long Hair,Male,Black,Golden,Small,Long,No,No,Healthy,150,3,Yes,Yes
212,Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,2,Yes,Yes
213,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,9,Yes,Yes
214,Dog,55,Beagle,Male,Black,Yellow,Medium,Short,Yes,Yes,Healthy,0,5,Yes,Yes
215,Dog,2,Shar Pei,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,3,Yes,Yes
216,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,3,Yes,Yes
217,Dog,36,Spitz,Female,Golden,Cream,Medium,Medium,Not Sure,Yes,Healthy,0,9,Yes,Yes
218,Cat,1,Domestic Medium Hair,Female,Black,Yellow,Medium,Long,No,No,Healthy,0,10,Yes,Yes
219,Cat,6,Siamese,Female,Brown,Cream,Medium,Medium,No,No,Healthy,0,3,No,Yes
220,Cat,6,Domestic Medium Hair,Female,Brown,Cream,Medium,Medium,No,No,Healthy,0,3,Yes,Yes
221,Cat,4,Bengal,Male,Brown,No Color,Medium,Medium,No,No,Minor Injury,0,4,Yes,Yes
222,Dog,2,Mixed Breed,Female,Brown,White,Medium,Medium,Yes,No,Healthy,0,3,Yes,Yes
223,Dog,5,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,1,Yes,Yes
224,Cat,20,Domestic Medium Hair,Male,Black,Gray,Large,Medium,No,No,Healthy,0,4,Yes,Yes
225,Dog,2,Mixed Breed,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,6,Yes,Yes
226,Dog,7,Mixed Breed,Male,Brown,White,Medium,Medium,Yes,Not Sure,Healthy,0,1,Yes,No
227,Cat,1,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,6,Yes,Yes
228,Dog,1,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,1,Yes,Yes
229,Cat,28,Birman,Male,Black,No Color,Large,Long,Yes,No,Healthy,0,5,Yes,Yes
230,Dog,24,Belgian Shepherd Malinois,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,250,9,No,Yes
231,Dog,12,Mixed Breed,Male,Brown,Golden,Medium,Medium,Yes,Yes,Healthy,0,0,No,No
232,Cat,4,Domestic Short Hair,Male,Black,Brown,Medium,Short,No,No,Healthy,0,4,No,Yes
233,Dog,2,Mixed Breed,Female,Black,Golden,Medium,Medium,Yes,No,Healthy,0,4,Yes,Yes
234,Cat,2,Domestic Medium Hair,Male,Yellow,No Color,Small,Short,Yes,No,Healthy,0,5,Yes,Yes
235,Dog,1,Mixed Breed,Female,Black,Brown,Small,Short,No,No,Healthy,0,1,No,Yes
236,Dog,5,Beagle,Female,Black,Brown,Medium,Short,Not Sure,Not Sure,Healthy,300,1,Yes,Yes
237,Cat,22,Domestic Medium Hair,Female,Black,No Color,Medium,Medium,Yes,Yes,Healthy,0,7,No,No
238,Cat,36,Domestic Short Hair,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,4,No,No
239,Dog,36,Spitz,Female,White,No Color,Medium,Medium,Yes,Yes,Healthy,0,2,Yes,Yes
240,Dog,8,Mixed Breed,Male,Yellow,No Color,Medium,Short,Yes,No,Healthy,0,2,No,No
241,Dog,10,Mixed Breed,Female,White,No Color,Medium,Short,No,Yes,Healthy,0,2,No,No
242,Dog,2,Mixed Breed,Female,Brown,Yellow,Medium,Short,No,No,Healthy,0,4,No,Yes
243,Cat,2,Domestic Medium Hair,Male,Black,White,Small,Medium,No,No,Healthy,0,4,No,Yes
244,Dog,3,Mixed Breed,Male,Black,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,2,No,No
245,Dog,3,Mixed Breed,Female,Black,White,Medium,Short,No,No,Healthy,0,2,Yes,Yes
